request_id,wall_ms,total_duration_ns,eval_duration_ns,prompt_eval_duration_ns,eval_count,prompt_eval_count,response_length,error
1,506,485626467,400053749,6562839,282,59,1317,
2,578,557141093,459485525,6225403,324,59,1578,
3,675,650178909,546354580,4866384,383,59,1884,
4,792,768471183,671528175,4313372,473,59,2129,
5,508,487792341,396763195,5776511,280,59,1284,
6,687,668524811,573643572,4171241,399,59,1959,
7,620,595424099,509291820,4830444,361,59,1745,
8,765,741253110,641999904,4068868,453,59,1868,
9,655,636036815,551780563,3768618,391,59,2004,
10,553,536863325,457741222,4085270,324,59,1590,
11,646,623979180,533418909,4831540,377,59,1819,
12,633,611245786,524922722,3857991,365,59,1783,
